file,node_id,M,greenery
Park_Ave_Tunnel_Segment/north_to_south/001_n00208_S.jpg,n00208,0.045442536422409405,"There are a few small trees and bushes visible on the right side of the road, near the buildings."
Park_Ave_Tunnel_Segment/north_to_south/002_n00207_S.jpg,n00207,0.041354667589635324,"There are trees visible on the left side of the image, along the sidewalk."
Park_Ave_Tunnel_Segment/north_to_south/003_n00206_S.jpg,n00206,0.16423273174060965,"There are trees visible on the left side of the image, along the sidewalk and near the buildings."
Park_Ave_Tunnel_Segment/north_to_south/004_n00205_S.jpg,n00205,0.1402969218896011,"There are trees visible on the left side of the image, along the sidewalk."
Park_Ave_Tunnel_Segment/north_to_south/005_n00204_S.jpg,n00204,0.19895834887500455,"There are trees visible on the left side of the image, near the sidewalk, and there are also some small plants along the road on the right side."
Park_Ave_Tunnel_Segment/north_to_south/006_n00203_S.jpg,n00203,0.21642787293331864,"There are trees visible on the left side of the image, near the buildings and along the street."
Park_Ave_Tunnel_Segment/north_to_south/007_n00202_S.jpg,n00202,0.29522037209796814,"There are trees visible on the left side of the image, near the sidewalk."
Park_Ave_Tunnel_Segment/north_to_south/008_n00201_S.jpg,n00201,0.4067110968671162,"There are trees visible on the left side of the image, near the buildings."
Park_Ave_Tunnel_Segment/north_to_south/009_n00200_S.jpg,n00200,0.5370996946675287,There is no visible vegetation in this view.
Park_Ave_Tunnel_Segment/north_to_south/010_n00199_S.jpg,n00199,0.6077314689380854,There is no visible vegetation in this view.
Park_Ave_Tunnel_Segment/north_to_south/011_n00198_S.jpg,n00198,0.6020546853490153,There is no visible vegetation in this view.
Park_Ave_Tunnel_Segment/north_to_south/012_n00197_S.jpg,n00197,0.5064710005204645,There is no visible vegetation in this view.
Park_Ave_Tunnel_Segment/north_to_south/013_n00196_S.jpg,n00196,0.6360211384046088,"There are trees visible on the left side of the image, near the buildings."
Park_Ave_Tunnel_Segment/north_to_south/014_n00195_S.jpg,n00195,0.176336061304867,There is no vegetation visible in this view.
Park_Ave_Tunnel_Segment/north_to_south/015_n00194_S.jpg,n00194,0.7510647541014948,"There are trees visible on the right side of the image, along the sidewalk and near the buildings."
Park_Ave_Tunnel_Segment/north_to_south/016_n00193_S.jpg,n00193,0.06385801036194858,There are no visible plants or vegetation in this view.
Park_Ave_Tunnel_Segment/north_to_south/017_n00192_S.jpg,n00192,0.7834829687223757,"There are trees visible on the sidewalks, particularly on the right side of the street, and there are also some small bushes near the Starbucks coffee shop."
Park_Ave_Tunnel_Segment/north_to_south/018_n00191_S.jpg,n00191,0.13970486639012725,There is no visible vegetation in this view.
Park_Ave_Tunnel_Segment/north_to_south/019_n00190_S.jpg,n00190,0.7493089777342901,"There are trees visible in the background, along the sidewalk and near the buildings."
Park_Ave_Tunnel_Segment/north_to_south/020_n00189_S.jpg,n00189,0.5279319358146131,"There are trees visible on the right side of the image, lining the sidewalk and providing shade."
Park_Ave_Tunnel_Segment/north_to_south/021_n00188_S.jpg,n00188,0.7987744956173005,"There are trees lining the street on both sides, and there are also bushes and shrubs along the sidewalk."
Park_Ave_Tunnel_Segment/north_to_south/022_n00187_S.jpg,n00187,0.5448994455501989,"There are trees visible in the distance, lining the street and providing shade."
Park_Ave_Tunnel_Segment/north_to_south/023_n00186_S.jpg,n00186,0.8193394414899343,"There are trees with green leaves on the right side of the street, and bushes along the sidewalk on the left side of the street."
Park_Ave_Tunnel_Segment/north_to_south/024_n00185_S.jpg,n00185,0.5385763424528273,"There are trees with bare branches, indicating it might be late autumn or winter, located on the right side of the street."
Park_Ave_Tunnel_Segment/north_to_south/025_n00184_S.jpg,n00184,0.825836273553671,"There are trees with pink blossoms on the left side of the street, and another tree with white blossoms on the right side of the street."
Park_Ave_Tunnel_Segment/north_to_south/026_n00183_S.jpg,n00183,0.6080420233539248,"There are trees with bare branches, located on the sidewalks and near the buildings, and bushes along the brick walls on both sides of the street."
Park_Ave_Tunnel_Segment/north_to_south/027_n00182_S.jpg,n00182,0.7806137475349061,"There are trees with green leaves on the left side of the image and some trees with bare branches in the center, indicating a mix of deciduous trees."
Park_Ave_Tunnel_Segment/north_to_south/028_n00181_S.jpg,n00181,0.7693947052525798,"There are trees visible on the right side of the image, near the buildings and along the sidewalk."
Park_Ave_Tunnel_Segment/north_to_south/029_n00180_S.jpg,n00180,0.8520960267926954,"There are trees with pink blossoms on the left side of the street, and some leafless trees further down the street."
Park_Ave_Tunnel_Segment/north_to_south/030_n00179_S.jpg,n00179,0.559703513592855,"There are trees visible in the distance, lining the horizon and providing a natural backdrop to the urban setting."
Park_Ave_Tunnel_Segment/north_to_south/031_n00178_S.jpg,n00178,0.8138846758338932,"There are trees with pink blossoms on the left side of the street, and green trees on the right side, both lining the street."
Park_Ave_Tunnel_Segment/north_to_south/032_n00177_S.jpg,n00177,0.3758395172718868,"There are trees with green leaves on the right side of the image, near the buildings."
Park_Ave_Tunnel_Segment/north_to_south/033_n00176_S.jpg,n00176,0.8343554980020111,"There are trees with pink blossoms on the left side of the image, and a tree with green leaves on the right side."
Park_Ave_Tunnel_Segment/north_to_south/034_n00175_S.jpg,n00175,0.4502498573625315,"There are vines climbing up the brick wall on the right side of the image, and trees are visible in the background along the street."
Park_Ave_Tunnel_Segment/north_to_south/035_n00174_S.jpg,n00174,0.8078269213294338,There is a tree with pink blossoms located in the center of a roundabout.
Park_Ave_Tunnel_Segment/north_to_south/036_n00173_S.jpg,n00173,0.8055331828732499,"There are trees with pink blossoms on the right side of the street, and some leafless trees on the left side."
Park_Ave_Tunnel_Segment/north_to_south/037_n00172_S.jpg,n00172,0.7309469120465107,"There are trees with pink blossoms on the right side of the image, and some greenery along the sidewalk."
Park_Ave_Tunnel_Segment/north_to_south/038_n00171_S.jpg,n00171,0.7724194932836319,"There is a tree with pink blossoms on the right side of the image, and some greenery with a fence in the foreground on the right."
Park_Ave_Tunnel_Segment/north_to_south/039_n00170_S.jpg,n00170,0.7677439865993975,"There is a tree with pink blossoms located near the center of the image, and another tree further down the street."
Park_Ave_Tunnel_Segment/north_to_south/040_n00169_S.jpg,n00169,0.42334992724094067,"There are leafless trees lining the street, visible on both sides of the road and in the background."
Park_Ave_Tunnel_Segment/north_to_south/041_n00168_S.jpg,n00168,0.7784435968827984,"There are trees with pink blossoms on the right side of the street, and greenery along the sidewalk."
Park_Ave_Tunnel_Segment/north_to_south/042_n00167_S.jpg,n00167,0.45303878676604314,"There are trees with green leaves visible on both sides of the street, lining the sidewalk and providing shade."
Park_Ave_Tunnel_Segment/north_to_south/043_n00166_S.jpg,n00166,0.7640476128673164,"There are trees with pink blossoms on the left side of the street, and a row of trees with green leaves on the right side of the street."
Park_Ave_Tunnel_Segment/north_to_south/044_n00165_S.jpg,n00165,0.4223630277552334,"There are trees with green leaves lining both sides of the street, and a grassy area with a fence on the left side of the image."
Park_Ave_Tunnel_Segment/north_to_south/045_n00164_S.jpg,n00164,0.7652075838661001,"There are trees with pink blossoms on the left side of the image, and green leaves on trees on the right side of the image."
Park_Ave_Tunnel_Segment/north_to_south/046_n00163_S.jpg,n00163,0.46801391653256963,"There are trees visible on the left side of the image, near the sidewalk, and on the right side, near the buildings."
Park_Ave_Tunnel_Segment/north_to_south/047_n00162_S.jpg,n00162,0.8161770463201803,"There are trees with pink blossoms visible in the background, located between the buildings and the street."
Park_Ave_Tunnel_Segment/north_to_south/048_n00161_S.jpg,n00161,0.5011639407673573,"There are leafless trees visible on the right side of the image, near the construction site."
Park_Ave_Tunnel_Segment/north_to_south/049_n00160_S.jpg,n00160,0.7925364080892815,"There are trees with pink blossoms on the left side of the street, and some bushes and greenery along the sidewalk."
