file,node_id,M,scene,ground,frontage
1st_avenue/north_to_south/001_n00045_S.jpg,n00045,0.4549756330688613,"Walking down this street would involve crossing multiple intersections, navigating traffic signals, and passing by various buildings and vehicles. The street appears to be well-lit, suggesting it is daytime, and the presence of crosswalks and traffic lights indicates a structured urban environment.","The footway is wide and has a smooth surface. There is a kerb separating it from the roadway. On the footway, there are a few people walking.","The buildings at street level include a variety of entrances, windows, and shopfronts. There are tall buildings with numerous windows, some of which have visible signs and awnings. There are also several entrances with doors and doorways, and some buildings have storefronts with glass windows and signs."
1st_avenue/north_to_south/002_n00044_S.jpg,n00044,0.4870648883463055,"The street is wide and has multiple lanes of traffic, with traffic lights and crosswalks. There are buildings on both sides, and some trees and greenery are visible.","The footway is wide and has a surface that appears to be made of concrete. There is a kerb separating the footway from the roadway. On the footway, there are a few people walking and a bicycle.","The buildings at street level have a variety of features. There are windows on the buildings, some of which are tall and narrow, while others are shorter and wider. There are also entrances, which appear to be doors or doorways. Some buildings have shopfronts, while others have blank walls."
1st_avenue/north_to_south/003_n00043_S.jpg,n00043,0.5036982798789896,"Walking down this street would involve crossing a wide road with multiple lanes, navigating through a pedestrian crossing, and passing by tall buildings and a park-like area with trees and grass.","The footway is wide, with a smooth surface, and there is a kerb separating it from the roadway. There are no vehicles on the footway.","The buildings at street level have a mix of entrances, windows, and blank walls. Some buildings have large windows, while others have more solid walls with fewer windows. There are also a few entrances visible, likely for commercial or residential use."
1st_avenue/north_to_south/004_n00042_S.jpg,n00042,0.4569042469130552,"Walking down this street would involve crossing a busy intersection with traffic lights and signs, navigating a pedestrian crossing, and passing by various buildings and a green area with benches.","The footway is wide, with a surface that appears to be made of concrete. There is a kerb separating the footway from the road. On the footway, there are a few people walking and a bench.","The buildings at street level have a mix of entrances, windows, and blank walls. There are tall, brick buildings with numerous windows, some of which have signs or advertisements. There are also shorter buildings with large windows and a few shopfronts. The street level features a variety of architectural styles and uses."
1st_avenue/north_to_south/005_n00041_S.jpg,n00041,0.3909900693332047,"Walking down this street would involve navigating a wide, well-maintained sidewalk with a few pedestrians, passing by tall buildings and a park area with a fence and trees.","The footway is wide, with a surface that appears to be concrete or asphalt. There is a kerb separating the footway from the roadway. On the footway, there are several people walking, and there are benches and a fence along the edge of the footway.","The buildings at street level have a mix of entrances, windows, and blank walls. Some buildings have large windows, while others have more solid walls with fewer windows. There are also a few shopfronts visible, indicating commercial activity."
1st_avenue/north_to_south/006_n00040_S.jpg,n00040,0.5032701864862938,"Walking down this street would involve navigating a wide road with multiple lanes of traffic, a bike lane, and a sidewalk. The presence of tall buildings and a large building with graffiti suggests an urban environment with a mix of commercial and residential uses.","The footway is wide and has a surface that appears to be made of concrete. There is a kerb separating the footway from the roadway. On the footway, there are several bicycles parked in a designated area.","The buildings at street level have a mix of entrances and windows. On the left side, there is a building with a yellow facade and a series of windows. On the right side, there is a taller building with a brick facade and several windows. There is also a large, curved wall with graffiti on it."
1st_avenue/north_to_south/007_n00039_S.jpg,n00039,0.4579855592035189,"Walking down this street would involve navigating a wide, multi-lane road with a bus lane, sidewalks, and tall buildings on either side. There are also some trees and a park area visible, providing some greenery and open space.","The footway is wide, with a surface that appears to be made of concrete or asphalt. There is a kerb separating the footway from the roadway. On the footway, there are a few people walking and a bench.","The buildings at street level have a mix of entrances, windows, and blank walls. Some buildings have large windows, while others have more solid walls with fewer windows. There are also a few shopfronts visible, indicating commercial activity."
1st_avenue/north_to_south/008_n00038_S.jpg,n00038,0.4235722257729474,"Walking down this street would involve navigating a wide road with a bike lane, passing by tall buildings, and possibly encountering pedestrians and vehicles. The presence of streetlights and a fire hydrant suggests it is a well-lit area, suitable for both day and night activities.","The footway is wide and has a surface that appears to be made of concrete. There is a kerb separating the footway from the roadway. On the footway, there is a bicycle parked near a bike rack.","The buildings at street level have a mix of entrances and windows. There are several tall buildings with numerous windows, some of which have graffiti on them. There is also a building with a curved facade and a large entrance, which appears to be a commercial or office space."
1st_avenue/north_to_south/009_n00037_S.jpg,n00037,0.4457731042807693,"The street is wide and has multiple lanes of traffic, with sidewalks on both sides. There are tall buildings and trees lining the street, and a few pedestrians are visible.","The footway is wide and has a surface that appears to be made of concrete. There is a kerb separating the footway from the roadway. On the footway, there is a person walking and a bicycle parked.","The buildings at street level have a mix of entrances, windows, and shopfronts. Some buildings have large windows, while others have more closed-off sections with fewer windows. There are also a few storefronts visible, indicating commercial activity."
1st_avenue/north_to_south/010_n00036_S.jpg,n00036,0.3232677817960334,"Walking down this street would involve navigating a wide road with a bike lane, passing by tall buildings, and crossing at intersections with traffic lights.","The footway is wide and has a surface that appears to be made of concrete. There is a kerb separating the footway from the roadway. On the footway, there are a few people walking and a bench.","The buildings at street level have a variety of entrances, including doors and windows. Some have large windows, while others have more closed-off entrances. There are also some blank walls visible."
