file,field,typology,desc,A_p1,A_p2,A_p3,A_p4,A_p5,A_p6,A_p7,B_p1,B_p2,B_p3,B_p4,B_p5,B_p6,B_p7,C_ge2,C_ge3,C_ge4,C_ge5,C_ge6,C_ge7,C_score,C_coherent
1st_avenue/north_to_south/029_n00017_S_L.jpg,resting_affordance,avenue_secondary,"There are no stoops, steps, ledges, low walls, planter rims, or benches visible in the image. The frontage of the building is mostly occupied by the building itself and the street.",0.213108,0.1970927,0.24528581,0.1712371,0.09456611,0.06705741,0.01165283,0.9865969,0.004713881,0.0017891873,0.00048913655,0.0009138275,0.00092821824,0.00456885,0.2422056347131729,0.5428633093833923,0.3073580265045166,0.0838903859257698,0.19930800795555115,0.031618766486644745,2.4072441309690475,False
1st_avenue/north_to_south/029_n00017_S_L.jpg,vertical_greenery,avenue_secondary,"There is no visible vegetation in the image. The street view shows a cityscape with buildings and vehicles, but no trees, hedges, or planters are present.",0.68503547,0.1652725,0.08709248,0.02307721,0.02202043,0.0102404505,0.007261567,0.99411327,0.0023148644,0.00072840444,0.0002022706,0.00047029325,0.00039602656,0.0017748681,0.04885777831077576,0.2689414322376251,0.1561049073934555,0.5039061903953552,0.04885777831077576,0.2254166156053543,2.2520847022533417,False
Tunnel_Exit_Street/north_to_south/008_n00259_S_L.jpg,resting_affordance,other,"There are no benches, stoops, steps, ledges, low walls, or planter rims visible in the image. The frontage is primarily occupied by vehicles and the sidewalk.",0.23200747,0.20797014,0.23200747,0.14293566,0.093739495,0.07650795,0.014831741,0.9848654,0.0069544385,0.0021543845,0.00049596746,0.0008050346,0.00088415755,0.0038406053,0.18713268637657166,0.3593641519546509,0.19682620465755463,0.07055959850549698,0.2018132209777832,0.07055959850549698,2.0862554609775543,False
Tunnel_Exit_Street/north_to_south/008_n00259_S_L.jpg,vertical_greenery,other,"The image shows a street view with several elements of vegetation. There are trees lining the street, providing a canopy that covers a significant portion of the frontage. Additionally, there are planters with greenery on the sidewalk, adding to the urban greenery. The trees and planters together cover approximately 30% of the frontage along the street.",0.025396723,0.11382021,0.4035277,0.3142677,0.1052665,0.034175023,0.003546177,0.0005251374,0.0039413753,0.08296383,0.39579827,0.40836227,0.10487611,0.003533026,0.6992543935775757,0.32766830921173096,0.3106943964958191,0.3380771279335022,0.1127953976392746,0.18713268637657166,2.975622311234474,False
Park_Ave_Tunnel_Segment/east_to_west/016_n00189_W_R.jpg,resting_affordance,avenue_canyon,"There are no benches, stoops, steps, ledges, low walls, or planter rims visible in this image. The frontage is primarily occupied by the entrance to a parking garage and some scaffolding.",0.3067068,0.22792514,0.18314299,0.10935969,0.07634536,0.08000925,0.016510842,0.9824051,0.008769272,0.0026330128,0.0006452476,0.00092427456,0.00090994494,0.0037131433,0.34510529041290283,0.7025300860404968,0.3380771279335022,0.043365802615880966,0.09009299427270889,0.031618766486644745,2.5507900677621365,False
Park_Ave_Tunnel_Segment/east_to_west/016_n00189_W_R.jpg,vertical_greenery,avenue_canyon,"The image shows a street view of a Manhattan area with a focus on a parking garage entrance. There is a tree canopy visible in the background, providing some greenery. However, the immediate frontage of the street does not have any visible vegetation such as hedges, planters, or green walls. The tree canopy in the background covers a small portion of the view, but the immediate surroundings are devoid of vegetation.",0.1635204,0.19724324,0.3054963,0.18242018,0.09764249,0.045407973,0.008269407,0.3805274,0.21681798,0.3746279,0.019546734,0.006861549,0.0007461589,0.000872348,0.5467381477355957,0.9416541457176208,0.7905303239822388,0.8221890926361084,0.19682620465755463,0.9046505093574524,5.202588424086571,False
east_39th_street/east_to_west/044_n00505_W_R.jpg,resting_affordance,mid_block,"There are no benches, stoops, steps, ledges, low walls, planter rims, or benches visible in this image. The frontage is mostly occupied by the sidewalk and street elements.",0.34478754,0.21916029,0.21241745,0.101919,0.065803856,0.043155227,0.012756661,0.9767507,0.010850721,0.004453127,0.0008768726,0.0012758422,0.0011259267,0.004666837,0.2845759987831116,0.3849121630191803,0.1755380630493164,0.05582313984632492,0.1919327974319458,0.0446808747947216,2.1374630369246006,False
east_39th_street/east_to_west/044_n00505_W_R.jpg,vertical_greenery,mid_block,"There is no visible vegetation in the image. The street view shows a cityscape with buildings, a sidewalk, and a street. There are no trees, green walls, hedges, or planters visible in the image.",0.5055445,0.21406102,0.1667109,0.04927964,0.039597306,0.016506612,0.0083000455,0.9941175,0.0025029762,0.00085159467,0.00021531685,0.0004558258,0.00033874094,0.0015181316,0.031143832951784134,0.6001883149147034,0.09401018917560577,0.5273165106773376,0.03258974477648735,0.0792103260755539,2.364458918571472,False
Tunnel_Exit_Street/north_to_south/007_n00260_S_L.jpg,resting_affordance,other,"There are no benches, stoops, steps, ledges, low walls, or planter rims visible in this image. The frontage is covered by a brick wall and some greenery.",0.18998748,0.16506399,0.31816915,0.13472131,0.08835238,0.08835238,0.015353342,0.97556293,0.012473915,0.004113461,0.0007375028,0.0011245576,0.0011785262,0.0048091225,0.3849121630191803,0.5389832258224487,0.2689414322376251,0.08151975274085999,0.1755380630493164,0.08035746961832047,2.530252106487751,False
Tunnel_Exit_Street/north_to_south/007_n00260_S_L.jpg,vertical_greenery,other,"The image shows a street view with a focus on the vegetation along the sidewalk. There is a green wall with ivy growing on it, covering approximately 10-15% of the frontage. There are no visible trees or tree canopies in the image. The green wall is located on the left side of the image, running parallel to the street.",0.032415077,0.070801035,0.16720968,0.3539829,0.1954879,0.16720968,0.012893826,0.37958574,0.226661,0.24127938,0.11576711,0.027070796,0.007878051,0.001757831,0.09670579433441162,0.36296921968460083,0.9597620368003845,0.4493926465511322,0.9032942056655884,0.8289388418197632,4.601062744855881,False
